criticality_rank,nearest_pharmacy_id,n_grid_squares,population_served,mean_dist_to_1st_km,mean_dist_to_2nd_km,mean_extra_distance_km,max_extra_distance_km,person_km_impact,namn,kommun,lan,lat,long
112,569,178,7820,7.06241659689682,17.067859257401988,10.005442660505167,17.923214280464787,78242.5616051504,Apoteket Svanen,Krokoms kommun,Jämtlands,63.32658866160225,14.449440360237922
113,585,303,9341,7.541681016173747,15.904919473973193,8.363238457799447,14.286815420695609,78121.01043430464,"Apoteksgruppen Svenljunga, Kindsvägen",Svenljunga kommun,Västra Götalands,57.49623906500192,13.110572205029838
114,571,274,9033,5.272245298729424,13.912226272025803,8.63998097329638,12.637509085529215,78044.9481317862,Apoteket Svanen,Markaryds kommun,Kronobergs,56.46169722240329,13.597400219192593
115,378,177,6223,7.066267271201889,19.47090871149922,12.404641440297333,19.99829799398596,77194.0836829703,Apoteket Kråkan,Falu kommun,Dalarnas,60.74059987784512,15.904004931186352
116,589,76,16320,2.909237492561659,7.633415041478286,4.724177548916628,7.7504944363742085,77098.57759831936,Apoteket Onsala,Kungsbacka kommun,Hallands,57.41275781343448,12.01656707529265
117,563,152,11288,2.321652151417447,9.130716728217804,6.809064576800357,9.644306767014658,76860.72094292243,"Apoteksgruppen Ljungsbro, Evastigen",Linköpings kommun,Östergötlands,58.508640733052744,15.503721158262817
118,786,154,2156,12.507080307760246,47.802973596084264,35.29589328832401,53.088732408412874,76097.94592962657,Kronans Apotek Sorsele Sjukstuga,Sorsele kommun,Västerbottens,65.5374022819757,17.540996205768806
119,470,114,11735,2.1299119628842584,8.561950432186155,6.4320384693018955,8.101345145470829,75479.97143725774,Apoteket Centrumvägen Nykvarn,Nykvarns kommun,Stockholms,59.17750058458063,17.432605472561118
120,150,147,8818,5.955892631145217,14.434319663724526,8.478427032579308,11.764576983203835,74762.76957328434,Apotek Hjärtat Orsa,Orsa kommun,Dalarnas,61.120491066738495,14.619250951195571
121,92,113,4895,4.2868513840272735,19.47606326743643,15.189211883409158,21.172597176354405,74351.19216928782,Apotek Hjärtat Hälsocentralen Hörnefors,Umeå kommun,Västerbottens,63.624303317330444,19.90919945354839
122,685,146,7448,2.3301079442777195,12.23185206207736,9.901744117799641,12.133996339961374,73748.19018937173,Apoteket Örnen,Vadstena kommun,Östergötlands,58.447401525032255,14.887596592302998
123,273,122,1224,31.79392994692786,91.8018119199195,60.00788197299165,98.59436689670869,73449.64753494177,Apoteket Fjällämmeln,Strömsunds kommun,Jämtlands,64.49009735972979,14.148994075516683
124,560,253,9531,5.2722670500917355,12.9352237606271,7.662956710535363,14.360990410015495,73035.64040811255,Apoteket Strömstaren,Halmstads kommun,Hallands,56.80139916877381,12.974896605751729
125,381,317,7017,4.94713532218816,15.321087370859594,10.373952048671436,15.700395400920677,72794.02152552747,Apoteket Kvarnen,Grästorps kommun,Västra Götalands,58.33090326949208,12.676999499795821
126,689,301,8132,6.491545381809425,15.368891028166296,8.87734564635687,13.322469034233555,72190.57479617407,Kronans Apotek Alunda,Östhammars kommun,Uppsala,60.0646010324838,18.081208552826926
127,697,271,9561,8.712879967123712,16.255497766916665,7.542617799792952,10.457663246097901,72114.96878382041,Kronans Apotek Brunflo Vårdcentral,Östersunds kommun,Jämtlands,63.08230153785968,14.83320088510376
